iter	Passed	Remaining
0	1	161
1	3	153
2	4	149
3	6	148
4	7	146
5	9	143
6	10	144
7	12	145
8	14	142
9	15	140
10	17	138
11	18	137
12	20	135
13	21	134
14	23	132
15	24	131
16	26	130
17	28	128
18	29	126
19	31	126
20	33	124
21	34	122
22	36	120
23	37	118
24	38	116
25	41	117
26	42	115
27	44	113
28	45	111
29	46	109
30	48	107
31	49	105
32	51	103
33	52	102
34	53	100
35	55	98
36	57	97
37	58	96
38	60	94
39	61	92
40	63	91
41	64	89
42	66	88
43	67	86
44	69	84
45	70	83
46	72	81
47	73	80
48	75	78
49	76	76
50	77	74
51	79	73
52	80	71
53	81	69
54	83	68
55	84	66
56	86	65
57	87	63
58	89	62
59	91	60
60	92	59
61	94	57
62	95	56
63	97	54
64	98	53
65	100	51
66	102	50
67	103	48
68	105	47
69	107	45
70	108	44
71	110	42
72	111	41
73	113	39
74	114	38
75	116	36
76	118	35
77	119	33
78	120	32
79	122	30
80	123	29
81	125	27
82	126	25
83	128	24
84	129	22
85	131	21
86	132	19
87	134	18
88	135	16
89	136	15
90	138	13
91	139	12
92	140	10
93	142	9
94	143	7
95	144	6
96	146	4
97	147	3
98	149	1
99	150	0
